                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.72994,                0.60796,                 1.2229,                0.92986,                0.94404,                0.97283,                0.82073,                0.62917,                0.44557,                 1.1576,              0.0013466,              0.0013466,              0.0013466
                     36,                0.71974,                0.61014,                 1.2165,                0.94795,                0.92054,                 0.9742,                0.84579,                0.58009,                0.41822,                 1.1221,              0.0013268,              0.0013268,              0.0013268
                     37,                0.71714,                 0.5897,                 1.2083,                0.91405,                0.95016,                0.96401,                0.82489,                0.59416,                0.46089,                 1.1251,               0.001307,               0.001307,               0.001307
                     38,                0.68786,                0.56927,                 1.1863,                 0.9541,                0.93682,                 0.9744,                0.84315,                0.56868,                 0.4261,                 1.1028,              0.0012872,              0.0012872,              0.0012872
                     39,                0.67836,                0.56054,                 1.1728,                0.95894,                0.94863,                0.97954,                0.86261,                0.54667,                0.38395,                 1.0807,              0.0012674,              0.0012674,              0.0012674
                     40,                0.66511,                0.54434,                 1.1679,                0.96602,                0.92599,                 0.9746,                0.86211,                0.54345,                0.39355,                 1.0779,              0.0012476,              0.0012476,              0.0012476
                     41,                0.68423,                0.56546,                 1.1871,                0.96802,                0.92509,                0.97685,                0.86117,                0.52931,                0.38946,                 1.0637,              0.0012278,              0.0012278,              0.0012278
                     42,                0.66765,                0.54554,                 1.1756,                0.96874,                0.94765,                0.98159,                 0.8785,                0.51453,                0.36414,                 1.0612,               0.001208,               0.001208,               0.001208
                     43,                0.66168,                0.54615,                 1.1717,                0.95694,                0.94276,                0.97899,                0.86173,                0.52183,                0.37644,                 1.0565,              0.0011882,              0.0011882,              0.0011882
                     44,                0.65347,                0.53915,                   1.16,                0.96586,                0.94856,                0.98259,                0.87056,                0.52338,                0.36894,                 1.0612,              0.0011684,              0.0011684,              0.0011684
                     45,                0.65708,                0.53362,                 1.1653,                0.98381,                0.94585,                0.98241,                0.87149,                 0.5122,                0.35107,                 1.0454,              0.0011486,              0.0011486,              0.0011486
                     46,                0.63067,                0.51426,                 1.1458,                0.96926,                0.95487,                0.98214,                0.87835,                0.48829,                0.34498,                 1.0233,              0.0011288,              0.0011288,              0.0011288
                     47,                0.62597,                0.51252,                 1.1439,                0.97073,                0.94134,                0.98005,                0.87745,                0.50613,                0.36336,                  1.041,               0.001109,               0.001109,               0.001109
                     48,                0.63485,                0.50893,                 1.1481,                0.97226,                 0.9639,                0.98343,                0.88758,                0.48751,                0.33518,                 1.0272,              0.0010892,              0.0010892,              0.0010892
                     49,                0.62762,                0.49861,                  1.147,                0.95827,                0.96119,                0.98157,                0.88031,                0.48563,                0.34074,                 1.0271,              0.0010694,              0.0010694,              0.0010694
                     50,                0.61625,                 0.4986,                 1.1347,                0.97762,                0.94605,                0.98242,                0.89077,                0.47665,                0.32905,                 1.0261,              0.0010496,              0.0010496,              0.0010496
                     51,                 0.6081,                0.48555,                 1.1295,                0.97806,                0.96546,                 0.9854,                0.89073,                0.48242,                0.31008,                 1.0379,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.6082,                0.48397,                 1.1268,                0.96567,                0.96459,                0.98652,                0.89902,                0.46063,                0.31047,                 1.0102,                0.00101,                0.00101,                0.00101
                     53,                 0.5921,                0.47253,                 1.1214,                0.97443,                0.96307,                0.98519,                0.90041,                0.45116,                0.29936,                0.99773,              0.0009902,              0.0009902,              0.0009902
                     54,                0.59793,                0.46849,                 1.1193,                0.97788,                 0.9575,                0.98348,                0.89562,                0.45852,                0.31382,                 0.9988,              0.0009704,              0.0009704,              0.0009704
                     55,                0.59021,                0.46808,                 1.1239,                0.96906,                0.95668,                0.98317,                0.89615,                 0.4508,                0.31802,                 1.0003,              0.0009506,              0.0009506,              0.0009506
                     56,                0.58359,                0.46767,                 1.1173,                0.97893,                0.96427,                  0.984,                 0.9039,                0.44048,                0.29295,                0.99559,              0.0009308,              0.0009308,              0.0009308
                     57,                0.58276,                0.46944,                 1.1144,                0.96396,                0.96572,                0.98267,                0.90116,                 0.4346,                0.31059,                0.98535,               0.000911,               0.000911,               0.000911
                     58,                0.56929,                0.45645,                 1.1085,                0.97395,                 0.9648,                0.98456,                 0.9038,                0.44107,                0.29995,                0.99291,              0.0008912,              0.0008912,              0.0008912
                     59,                0.57053,                0.44884,                  1.112,                0.96249,                0.97252,                0.98442,                0.90904,                0.42713,                0.29157,                0.98629,              0.0008714,              0.0008714,              0.0008714
                     60,                0.54834,                0.43957,                 1.0962,                0.97613,                0.95945,                0.98649,                0.91477,                0.43332,                0.28344,                 0.9871,              0.0008516,              0.0008516,              0.0008516
                     61,                0.55063,                0.43816,                 1.0963,                 0.9857,                0.97202,                0.98791,                0.91892,                0.41437,                0.27778,                0.96743,              0.0008318,              0.0008318,              0.0008318
                     62,                0.55441,                 0.4402,                  1.098,                0.97031,                 0.9735,                0.98703,                0.92027,                 0.4084,                 0.2753,                0.96097,               0.000812,               0.000812,               0.000812
                     63,                0.54657,                 0.4341,                 1.0936,                 0.9785,                0.97202,                0.98597,                0.91692,                0.41972,                0.27768,                0.97327,              0.0007922,              0.0007922,              0.0007922
                     64,                0.54635,                0.43091,                 1.0894,                0.97899,                0.96715,                0.98716,                0.92277,                0.40725,                0.27743,                0.95711,              0.0007724,              0.0007724,              0.0007724
                     65,                0.54187,                0.41661,                 1.0853,                0.97823,                0.97344,                0.98783,                 0.9219,                0.40708,                0.27949,                0.95913,              0.0007526,              0.0007526,              0.0007526
                     66,                0.52712,                0.42211,                 1.0787,                0.98514,                0.97112,                0.98735,                0.92504,                0.39223,                0.27288,                 0.9434,              0.0007328,              0.0007328,              0.0007328
                     67,                0.52407,                 0.4149,                 1.0789,                0.97875,                0.97202,                0.98679,                0.92086,                0.40148,                0.26979,                0.95105,               0.000713,               0.000713,               0.000713
                     68,                0.52574,                0.41038,                 1.0756,                 0.9891,                0.95668,                0.98675,                0.92892,                 0.3818,                0.26848,                0.93323,              0.0006932,              0.0006932,              0.0006932
                     69,                0.51728,                0.40629,                 1.0779,                0.98413,                0.97022,                0.98667,                0.92984,                0.38102,                0.25675,                0.94204,              0.0006734,              0.0006734,              0.0006734
                     70,                0.50645,                0.39983,                 1.0669,                0.98288,                0.97292,                0.98666,                0.93383,                  0.369,                0.25309,                0.92534,              0.0006536,              0.0006536,              0.0006536
                     71,                0.49221,                0.38713,                 1.0533,                0.98535,                0.97151,                0.98819,                0.93863,                0.36147,                0.24214,                0.91845,              0.0006338,              0.0006338,              0.0006338
                     72,                0.50897,                0.39495,                 1.0695,                0.98017,                 0.9639,                 0.9876,                0.93528,                0.36691,                0.25331,                 0.9222,               0.000614,               0.000614,               0.000614
                     73,                0.49362,                0.38462,                   1.06,                0.98323,                0.97834,                0.98711,                  0.936,                0.36177,                0.24321,                0.92015,              0.0005942,              0.0005942,              0.0005942
                     74,                0.49124,                0.38312,                 1.0531,                0.98093,                0.97467,                0.98677,                 0.9347,                0.35606,                0.24534,                 0.9232,              0.0005744,              0.0005744,              0.0005744
                     75,                0.49616,                0.37568,                 1.0593,                0.98468,                0.96751,                0.98674,                0.93366,                0.35542,                0.24327,                0.91619,              0.0005546,              0.0005546,              0.0005546
